train_cycle,hits_discovered,acquisition_method,architecture,n_start,seed,dataset,enrichment,id
14,133,Similarity,gcn,16,1,ALDH1,-0.4955407218687924,gcn 16 1 ALDH1
15,140,Similarity,gcn,16,1,ALDH1,-0.262073646213548,gcn 16 1 ALDH1
0,1,Similarity,gcn,16,1,PKM2,0,gcn 16 1 PKM2
1,1,Similarity,gcn,16,1,PKM2,0,gcn 16 1 PKM2
2,1,Similarity,gcn,16,1,PKM2,0,gcn 16 1 PKM2
3,1,Similarity,gcn,16,1,PKM2,0.6850751027970321,gcn 16 1 PKM2
4,2,Similarity,gcn,16,1,PKM2,0,gcn 16 1 PKM2
5,2,Similarity,gcn,16,1,PKM2,0,gcn 16 1 PKM2
6,2,Similarity,gcn,16,1,PKM2,0,gcn 16 1 PKM2
7,2,Similarity,gcn,16,1,PKM2,0,gcn 16 1 PKM2
8,2,Similarity,gcn,16,1,PKM2,0.921616260514149,gcn 16 1 PKM2
9,2,Similarity,gcn,16,1,PKM2,2.594951519534823,gcn 16 1 PKM2
10,2,Similarity,gcn,16,1,PKM2,3.259634026467529,gcn 16 1 PKM2
11,2,Similarity,gcn,16,1,PKM2,4.236725781839133,gcn 16 1 PKM2
12,2,Similarity,gcn,16,1,PKM2,4.382079500259212,gcn 16 1 PKM2
13,2,Similarity,gcn,16,1,PKM2,4.165932963195402,gcn 16 1 PKM2
14,2,Similarity,gcn,16,1,PKM2,3.970107012855891,gcn 16 1 PKM2
15,2,Similarity,gcn,16,1,PKM2,3.7918647041557083,gcn 16 1 PKM2
0,1,Similarity,gcn,16,1,VDR,0,gcn 16 1 VDR
1,1,Similarity,gcn,16,1,VDR,0.8416293953174281,gcn 16 1 VDR
2,1,Similarity,gcn,16,1,VDR,1.4919885568608175,gcn 16 1 VDR
3,2,Similarity,gcn,16,1,VDR,0.6698756917499631,gcn 16 1 VDR
4,2,Similarity,gcn,16,1,VDR,0.6078525887533719,gcn 16 1 VDR
5,2,Similarity,gcn,16,1,VDR,2.2253660003043096,gcn 16 1 VDR
6,2,Similarity,gcn,16,1,VDR,2.0515150144147114,gcn 16 1 VDR
7,2,Similarity,gcn,16,1,VDR,2.8542885794386383,gcn 16 1 VDR
8,2,Similarity,gcn,16,1,VDR,4.8793006956061085,gcn 16 1 VDR
9,2,Similarity,gcn,16,1,VDR,4.985991758811484,gcn 16 1 VDR
10,3,Similarity,gcn,16,1,VDR,5.079981824074289,gcn 16 1 VDR
11,11,Similarity,gcn,16,1,VDR,2.2128906249711813,gcn 16 1 VDR
12,11,Similarity,gcn,16,1,VDR,3.1427794792342145,gcn 16 1 VDR
13,11,Similarity,gcn,16,1,VDR,2.9840566265188637,gcn 16 1 VDR
14,11,Similarity,gcn,16,1,VDR,2.8405952768654967,gcn 16 1 VDR
15,11,Similarity,gcn,16,1,VDR,2.710295264094071,gcn 16 1 VDR
0,4,Similarity,gcn,16,2,ALDH1,0,gcn 16 2 ALDH1
1,17,Similarity,gcn,16,2,ALDH1,-1.4174827178370268,gcn 16 2 ALDH1
2,25,Similarity,gcn,16,2,ALDH1,-0.9841595066480369,gcn 16 2 ALDH1
3,32,Similarity,gcn,16,2,ALDH1,-0.7067640136546438,gcn 16 2 ALDH1
4,41,Similarity,gcn,16,2,ALDH1,0.2756790323024525,gcn 16 2 ALDH1
5,50,Similarity,gcn,16,2,ALDH1,0.6214668526994576,gcn 16 2 ALDH1
6,54,Similarity,gcn,16,2,ALDH1,1.244585402572235,gcn 16 2 ALDH1
