train_cycle,hits_discovered,acquisition_method,architecture,n_start,seed,dataset,enrichment,id
0,2,Similarity,gcn,32,4,ALDH1,0,gcn 32 4 ALDH1
1,11,Similarity,gcn,32,4,ALDH1,0,gcn 32 4 ALDH1
2,15,Similarity,gcn,32,4,ALDH1,-0.3360770879079549,gcn 32 4 ALDH1
3,23,Similarity,gcn,32,4,ALDH1,0.08252898420831367,gcn 32 4 ALDH1
4,31,Similarity,gcn,32,4,ALDH1,0.3919676201889368,gcn 32 4 ALDH1
5,35,Similarity,gcn,32,4,ALDH1,0.4865438571411549,gcn 32 4 ALDH1
6,41,Similarity,gcn,32,4,ALDH1,0.6916187242549425,gcn 32 4 ALDH1
7,50,Similarity,gcn,32,4,ALDH1,0.5627307746542116,gcn 32 4 ALDH1
8,55,Similarity,gcn,32,4,ALDH1,0.8906586878391427,gcn 32 4 ALDH1
9,72,Similarity,gcn,32,4,ALDH1,0.9916970820249102,gcn 32 4 ALDH1
10,87,Similarity,gcn,32,4,ALDH1,0.870827863335089,gcn 32 4 ALDH1
11,97,Similarity,gcn,32,4,ALDH1,0.7970157843138779,gcn 32 4 ALDH1
12,101,Similarity,gcn,32,4,ALDH1,0.83270389513287,gcn 32 4 ALDH1
13,109,Similarity,gcn,32,4,ALDH1,0.7950701596653604,gcn 32 4 ALDH1
14,118,Similarity,gcn,32,4,ALDH1,0.6354356535612884,gcn 32 4 ALDH1
15,122,Similarity,gcn,32,4,ALDH1,0.6944150181087947,gcn 32 4 ALDH1
0,1,Similarity,gcn,32,4,PKM2,0,gcn 32 4 PKM2
1,1,Similarity,gcn,32,4,PKM2,0,gcn 32 4 PKM2
2,1,Similarity,gcn,32,4,PKM2,0,gcn 32 4 PKM2
3,1,Similarity,gcn,32,4,PKM2,0,gcn 32 4 PKM2
4,1,Similarity,gcn,32,4,PKM2,0,gcn 32 4 PKM2
5,1,Similarity,gcn,32,4,PKM2,0,gcn 32 4 PKM2
6,1,Similarity,gcn,32,4,PKM2,0,gcn 32 4 PKM2
7,1,Similarity,gcn,32,4,PKM2,0,gcn 32 4 PKM2
8,1,Similarity,gcn,32,4,PKM2,0,gcn 32 4 PKM2
9,2,Similarity,gcn,32,4,PKM2,0,gcn 32 4 PKM2
10,3,Similarity,gcn,32,4,PKM2,0,gcn 32 4 PKM2
11,3,Similarity,gcn,32,4,PKM2,1.1398074736747956,gcn 32 4 PKM2
12,3,Similarity,gcn,32,4,PKM2,1.8023833230848272,gcn 32 4 PKM2
13,4,Similarity,gcn,32,4,PKM2,3.0862230050079216,gcn 32 4 PKM2
14,5,Similarity,gcn,32,4,PKM2,2.9428430053922163,gcn 32 4 PKM2
15,5,Similarity,gcn,32,4,PKM2,4.062057817245733,gcn 32 4 PKM2
0,2,Similarity,gcn,32,4,VDR,0,gcn 32 4 VDR
1,2,Similarity,gcn,32,4,VDR,1.6307742425931933,gcn 32 4 VDR
2,2,Similarity,gcn,32,4,VDR,2.1759113335169658,gcn 32 4 VDR
3,2,Similarity,gcn,32,4,VDR,3.2657241870292206,gcn 32 4 VDR
4,2,Similarity,gcn,32,4,VDR,2.970222978404061,gcn 32 4 VDR
5,2,Similarity,gcn,32,4,VDR,3.268513933416473,gcn 32 4 VDR
6,2,Similarity,gcn,32,4,VDR,3.0180813990851547,gcn 32 4 VDR
7,2,Similarity,gcn,32,4,VDR,3.2705095293222617,gcn 32 4 VDR
8,2,Similarity,gcn,32,4,VDR,3.053221220152201,gcn 32 4 VDR
9,2,Similarity,gcn,32,4,VDR,2.863006847883479,gcn 32 4 VDR
10,2,Similarity,gcn,32,4,VDR,3.4651325339987227,gcn 32 4 VDR
11,2,Similarity,gcn,32,4,VDR,3.636860130636528,gcn 32 4 VDR
12,2,Similarity,gcn,32,4,VDR,4.479752702472699,gcn 32 4 VDR
13,3,Similarity,gcn,32,4,VDR,4.5837508493212615,gcn 32 4 VDR
14,4,Similarity,gcn,32,4,VDR,4.677868629364846,gcn 32 4 VDR
15,4,Similarity,gcn,32,4,VDR,5.656597136589665,gcn 32 4 VDR
0,3,Similarity,gcn,32,5,ALDH1,0,gcn 32 5 ALDH1
1,19,Similarity,gcn,32,5,ALDH1,-0.8716736495464286,gcn 32 5 ALDH1
2,35,Similarity,gcn,32,5,ALDH1,-1.5683597435704568,gcn 32 5 ALDH1
3,46,Similarity,gcn,32,5,ALDH1,-0.2475869526249399,gcn 32 5 ALDH1
4,55,Similarity,gcn,32,5,ALDH1,-0.32663968349078054,gcn 32 5 ALDH1
5,64,Similarity,gcn,32,5,ALDH1,0.16218128571371837,gcn 32 5 ALDH1
6,73,Similarity,gcn,32,5,ALDH1,0.36886331960263563,gcn 32 5 ALDH1
7,84,Similarity,gcn,32,5,ALDH1,0.8039011066488735,gcn 32 5 ALDH1
8,91,Similarity,gcn,32,5,ALDH1,1.068790425406971,gcn 32 5 ALDH1
9,98,Similarity,gcn,32,5,ALDH1,1.3115993665490748,gcn 32 5 ALDH1
10,105,Similarity,gcn,32,5,ALDH1,1.0740210314466099,gcn 32 5 ALDH1
11,108,Similarity,gcn,32,5,ALDH1,1.275225254902205,gcn 32 5 ALDH1
12,109,Similarity,gcn,32,5,ALDH1,1.3470210068325832,gcn 32 5 ALDH1
13,115,Similarity,gcn,32,5,ALDH1,1.4992751582261086,gcn 32 5 ALDH1
14,124,Similarity,gcn,32,5,ALDH1,1.482683191643006,gcn 32 5 ALDH1
15,131,Similarity,gcn,32,5,ALDH1,1.4285108943952354,gcn 32 5 ALDH1
0,1,Similarity,gcn,32,5,PKM2,0,gcn 32 5 PKM2
1,2,Similarity,gcn,32,5,PKM2,-0.825619826817203,gcn 32 5 PKM2
2,2,Similarity,gcn,32,5,PKM2,-0.738938581430937,gcn 32 5 PKM2
3,2,Similarity,gcn,32,5,PKM2,-0.6687291752886316,gcn 32 5 PKM2
4,2,Similarity,gcn,32,5,PKM2,0,gcn 32 5 PKM2
5,2,Similarity,gcn,32,5,PKM2,0.5619442011641378,gcn 32 5 PKM2
6,2,Similarity,gcn,32,5,PKM2,0.5203949719211265,gcn 32 5 PKM2
7,2,Similarity,gcn,32,5,PKM2,0.48456689344366255,gcn 32 5 PKM2
8,3,Similarity,gcn,32,5,PKM2,0.4533544137137424,gcn 32 5 PKM2
9,3,Similarity,gcn,32,5,PKM2,0.425919591414736,gcn 32 5 PKM2
10,3,Similarity,gcn,32,5,PKM2,0.4016157438472774,gcn 32 5 PKM2
11,4,Similarity,gcn,32,5,PKM2,0,gcn 32 5 PKM2
12,5,Similarity,gcn,32,5,PKM2,0,gcn 32 5 PKM2
13,5,Similarity,gcn,32,5,PKM2,0,gcn 32 5 PKM2
14,5,Similarity,gcn,32,5,PKM2,0.32698255615469085,gcn 32 5 PKM2
15,5,Similarity,gcn,32,5,PKM2,0.3124659859419794,gcn 32 5 PKM2
0,1,Similarity,gcn,32,5,VDR,0,gcn 32 5 VDR
1,1,Similarity,gcn,32,5,VDR,0,gcn 32 5 VDR
2,1,Similarity,gcn,32,5,VDR,0,gcn 32 5 VDR
3,2,Similarity,gcn,32,5,VDR,-0.6531448374058442,gcn 32 5 VDR
4,2,Similarity,gcn,32,5,VDR,0,gcn 32 5 VDR
5,2,Similarity,gcn,32,5,VDR,0,gcn 32 5 VDR
6,2,Similarity,gcn,32,5,VDR,0,gcn 32 5 VDR
7,2,Similarity,gcn,32,5,VDR,0.9344312940920748,gcn 32 5 VDR
8,2,Similarity,gcn,32,5,VDR,0.872348920043486,gcn 32 5 VDR
9,2,Similarity,gcn,32,5,VDR,0.8180019565381369,gcn 32 5 VDR
10,2,Similarity,gcn,32,5,VDR,1.155044177999574,gcn 32 5 VDR
11,2,Similarity,gcn,32,5,VDR,1.0910580391909583,gcn 32 5 VDR
12,2,Similarity,gcn,32,5,VDR,1.722981808643346,gcn 32 5 VDR
13,2,Similarity,gcn,32,5,VDR,1.9644646497091123,gcn 32 5 VDR
14,4,Similarity,gcn,32,5,VDR,1.8711474517459383,gcn 32 5 VDR
15,5,Similarity,gcn,32,5,VDR,2.3817251101430164,gcn 32 5 VDR
0,2,Similarity,gcn,32,6,ALDH1,0,gcn 32 6 ALDH1
1,15,Similarity,gcn,32,6,ALDH1,-1.9176820290021426,gcn 32 6 ALDH1
2,24,Similarity,gcn,32,6,ALDH1,-2.0164625274477297,gcn 32 6 ALDH1
3,36,Similarity,gcn,32,6,ALDH1,-2.228282573624463,gcn 32 6 ALDH1
4,48,Similarity,gcn,32,6,ALDH1,-2.2864777844354647,gcn 32 6 ALDH1
5,50,Similarity,gcn,32,6,ALDH1,-1.5677524285659423,gcn 32 6 ALDH1
6,56,Similarity,gcn,32,6,ALDH1,-0.876050384056261,gcn 32 6 ALDH1
7,72,Similarity,gcn,32,6,ALDH1,-0.361755497991993,gcn 32 6 ALDH1
8,83,Similarity,gcn,32,6,ALDH1,-0.07125269502713127,gcn 32 6 ALDH1
9,85,Similarity,gcn,32,6,ALDH1,0.3199022845241646,gcn 32 6 ALDH1
10,85,Similarity,gcn,32,6,ALDH1,0.6095795043345622,gcn 32 6 ALDH1
11,85,Similarity,gcn,32,6,ALDH1,1.0626877124185041,gcn 32 6 ALDH1
12,87,Similarity,gcn,32,6,ALDH1,1.3960035888992226,gcn 32 6 ALDH1
13,89,Similarity,gcn,32,6,ALDH1,1.5219914485022619,gcn 32 6 ALDH1
14,94,Similarity,gcn,32,6,ALDH1,1.7368574530675216,gcn 32 6 ALDH1
15,106,Similarity,gcn,32,6,ALDH1,1.5673938980169941,gcn 32 6 ALDH1
0,1,Similarity,gcn,32,6,PKM2,0,gcn 32 6 PKM2
1,3,Similarity,gcn,32,6,PKM2,-1.6512396536344058,gcn 32 6 PKM2
2,4,Similarity,gcn,32,6,PKM2,-0.7389385814309373,gcn 32 6 PKM2
3,5,Similarity,gcn,32,6,PKM2,-1.3374583505772635,gcn 32 6 PKM2
4,5,Similarity,gcn,32,6,PKM2,-1.2214076923834218,gcn 32 6 PKM2
5,5,Similarity,gcn,32,6,PKM2,-1.1238884023282754,gcn 32 6 PKM2
6,5,Similarity,gcn,32,6,PKM2,-1.040789943842253,gcn 32 6 PKM2
7,5,Similarity,gcn,32,6,PKM2,-0.9691337868873253,gcn 32 6 PKM2
8,5,Similarity,gcn,32,6,PKM2,-0.9067088274274848,gcn 32 6 PKM2
9,5,Similarity,gcn,32,6,PKM2,-0.8518391828294725,gcn 32 6 PKM2
10,5,Similarity,gcn,32,6,PKM2,-0.8032314876945552,gcn 32 6 PKM2
11,5,Similarity,gcn,32,6,PKM2,-0.7598716491165303,gcn 32 6 PKM2
12,6,Similarity,gcn,32,6,PKM2,-0.7209533292339307,gcn 32 6 PKM2
13,8,Similarity,gcn,32,6,PKM2,-1.3716546688924096,gcn 32 6 PKM2
14,10,Similarity,gcn,32,6,PKM2,-1.6349127807734531,gcn 32 6 PKM2
15,11,Similarity,gcn,32,6,PKM2,-1.5623299297098971,gcn 32 6 PKM2
0,1,Similarity,gcn,32,6,VDR,0,gcn 32 6 VDR
1,7,Similarity,gcn,32,6,VDR,-2.44616136388979,gcn 32 6 VDR
2,9,Similarity,gcn,32,6,VDR,-2.901215111355955,gcn 32 6 VDR
3,9,Similarity,gcn,32,6,VDR,-0.6531448374058444,gcn 32 6 VDR
4,9,Similarity,gcn,32,6,VDR,0,gcn 32 6 VDR
5,9,Similarity,gcn,32,6,VDR,0.5447523222360795,gcn 32 6 VDR
6,9,Similarity,gcn,32,6,VDR,0.5030135665141922,gcn 32 6 VDR
7,9,Similarity,gcn,32,6,VDR,0.4672156470460376,gcn 32 6 VDR
8,9,Similarity,gcn,32,6,VDR,0.872348920043486,gcn 32 6 VDR
9,9,Similarity,gcn,32,6,VDR,0.8180019565381373,gcn 32 6 VDR
10,9,Similarity,gcn,32,6,VDR,1.1550441779995744,gcn 32 6 VDR
11,9,Similarity,gcn,32,6,VDR,1.4547440522546107,gcn 32 6 VDR
12,9,Similarity,gcn,32,6,VDR,1.3783854469146766,gcn 32 6 VDR
13,9,Similarity,gcn,32,6,VDR,1.3096430998060749,gcn 32 6 VDR
14,9,Similarity,gcn,32,6,VDR,1.2474316344972922,gcn 32 6 VDR
15,9,Similarity,gcn,32,6,VDR,1.190862555071508,gcn 32 6 VDR
0,1,Similarity,gcn,32,7,ALDH1,0,gcn 32 7 ALDH1
1,2,Similarity,gcn,32,7,ALDH1,0.6973389196371429,gcn 32 7 ALDH1
2,10,Similarity,gcn,32,7,ALDH1,0,gcn 32 7 ALDH1
3,23,Similarity,gcn,32,7,ALDH1,-0.8252898420831343,gcn 32 7 ALDH1
4,31,Similarity,gcn,32,7,ALDH1,-0.8492631770760295,gcn 32 7 ALDH1
5,42,Similarity,gcn,32,7,ALDH1,-0.9730877142823091,gcn 32 7 ALDH1
6,47,Similarity,gcn,32,7,ALDH1,-0.7377266392052728,gcn 32 7 ALDH1
7,50,Similarity,gcn,32,7,ALDH1,-0.6029258299866551,gcn 32 7 ALDH1
8,53,Similarity,gcn,32,7,ALDH1,-0.24938443259495968,gcn 32 7 ALDH1
9,59,Similarity,gcn,32,7,ALDH1,0.06398045690483323,gcn 32 7 ALDH1
10,63,Similarity,gcn,32,7,ALDH1,0.5805519088900593,gcn 32 7 ALDH1
11,65,Similarity,gcn,32,7,ALDH1,0.9298517483661908,gcn 32 7 ALDH1
12,67,Similarity,gcn,32,7,ALDH1,1.1021080964993866,gcn 32 7 ALDH1
13,72,Similarity,gcn,32,7,ALDH1,1.226679674912271,gcn 32 7 ALDH1
14,77,Similarity,gcn,32,7,ALDH1,1.3979584378348349,gcn 32 7 ALDH1
15,90,Similarity,gcn,32,7,ALDH1,1.2499470325958306,gcn 32 7 ALDH1
0,1,Similarity,gcn,32,7,PKM2,0,gcn 32 7 PKM2
1,1,Similarity,gcn,32,7,PKM2,0,gcn 32 7 PKM2
2,2,Similarity,gcn,32,7,PKM2,-0.738938581430937,gcn 32 7 PKM2
3,2,Similarity,gcn,32,7,PKM2,-0.6687291752886316,gcn 32 7 PKM2
4,2,Similarity,gcn,32,7,PKM2,0,gcn 32 7 PKM2
5,2,Similarity,gcn,32,7,PKM2,0,gcn 32 7 PKM2
6,2,Similarity,gcn,32,7,PKM2,0,gcn 32 7 PKM2
7,2,Similarity,gcn,32,7,PKM2,0,gcn 32 7 PKM2
8,3,Similarity,gcn,32,7,PKM2,-0.4533544137137424,gcn 32 7 PKM2
9,3,Similarity,gcn,32,7,PKM2,0,gcn 32 7 PKM2
10,3,Similarity,gcn,32,7,PKM2,1.2048472315418333,gcn 32 7 PKM2
11,3,Similarity,gcn,32,7,PKM2,2.659550771907856,gcn 32 7 PKM2
12,3,Similarity,gcn,32,7,PKM2,3.2442899815526887,gcn 32 7 PKM2
13,3,Similarity,gcn,32,7,PKM2,3.0862230050079216,gcn 32 7 PKM2
14,3,Similarity,gcn,32,7,PKM2,2.942843005392215,gcn 32 7 PKM2
15,3,Similarity,gcn,32,7,PKM2,2.8121938734778142,gcn 32 7 PKM2
0,1,Similarity,gcn,32,7,VDR,0,gcn 32 7 VDR
1,2,Similarity,gcn,32,7,VDR,-0.815387121296597,gcn 32 7 VDR
2,2,Similarity,gcn,32,7,VDR,-0.7253037778389886,gcn 32 7 VDR
3,2,Similarity,gcn,32,7,VDR,0,gcn 32 7 VDR
4,2,Similarity,gcn,32,7,VDR,0,gcn 32 7 VDR
5,2,Similarity,gcn,32,7,VDR,0,gcn 32 7 VDR
6,3,Similarity,gcn,32,7,VDR,0,gcn 32 7 VDR
7,5,Similarity,gcn,32,7,VDR,0,gcn 32 7 VDR
8,6,Similarity,gcn,32,7,VDR,-0.43617446002174276,gcn 32 7 VDR
9,8,Similarity,gcn,32,7,VDR,-1.2270029348072051,gcn 32 7 VDR
10,9,Similarity,gcn,32,7,VDR,-1.5400589039994328,gcn 32 7 VDR
11,9,Similarity,gcn,32,7,VDR,-1.4547440522546116,gcn 32 7 VDR
12,10,Similarity,gcn,32,7,VDR,-1.722981808643346,gcn 32 7 VDR
13,10,Similarity,gcn,32,7,VDR,-1.6370538747575936,gcn 32 7 VDR
14,11,Similarity,gcn,32,7,VDR,-1.559289543121615,gcn 32 7 VDR
15,12,Similarity,gcn,32,7,VDR,-1.1908625550715084,gcn 32 7 VDR
0,2,Similarity,gcn,32,8,ALDH1,0,gcn 32 8 ALDH1
1,14,Similarity,gcn,32,8,ALDH1,-1.5690125691835712,gcn 32 8 ALDH1
2,27,Similarity,gcn,32,8,ALDH1,-1.2322826556625017,gcn 32 8 ALDH1
3,37,Similarity,gcn,32,8,ALDH1,0,gcn 32 8 ALDH1
4,42,Similarity,gcn,32,8,ALDH1,0.06532793669815584,gcn 32 8 ALDH1
5,46,Similarity,gcn,32,8,ALDH1,0.9730877142823089,gcn 32 8 ALDH1
6,50,Similarity,gcn,32,8,ALDH1,1.429345363460215,gcn 32 8 ALDH1
7,63,Similarity,gcn,32,8,ALDH1,1.0852664939759786,gcn 32 8 ALDH1
8,76,Similarity,gcn,32,8,ALDH1,0.9619113828662744,gcn 32 8 ALDH1
9,86,Similarity,gcn,32,8,ALDH1,0.8957263966676607,gcn 32 8 ALDH1
10,88,Similarity,gcn,32,8,ALDH1,0.9579106496685976,gcn 32 8 ALDH1
11,94,Similarity,gcn,32,8,ALDH1,0.8767173627452656,gcn 32 8 ALDH1
12,99,Similarity,gcn,32,8,ALDH1,0.9306690592661488,gcn 32 8 ALDH1
13,104,Similarity,gcn,32,8,ALDH1,0.9768004818745859,gcn 32 8 ALDH1
14,119,Similarity,gcn,32,8,ALDH1,0.7413415958215035,gcn 32 8 ALDH1
15,121,Similarity,gcn,32,8,ALDH1,0.8332980217305539,gcn 32 8 ALDH1
0,1,Similarity,gcn,32,8,PKM2,0,gcn 32 8 PKM2
1,1,Similarity,gcn,32,8,PKM2,0,gcn 32 8 PKM2
2,1,Similarity,gcn,32,8,PKM2,0,gcn 32 8 PKM2
3,1,Similarity,gcn,32,8,PKM2,0,gcn 32 8 PKM2
4,2,Similarity,gcn,32,8,PKM2,0,gcn 32 8 PKM2
5,5,Similarity,gcn,32,8,PKM2,-1.6858326034924132,gcn 32 8 PKM2
6,12,Similarity,gcn,32,8,PKM2,-4.683554747290139,gcn 32 8 PKM2
7,16,Similarity,gcn,32,8,PKM2,-5.330235827880291,gcn 32 8 PKM2
8,16,Similarity,gcn,32,8,PKM2,-4.9868985508511665,gcn 32 8 PKM2
9,16,Similarity,gcn,32,8,PKM2,-3.833276322732625,gcn 32 8 PKM2
10,17,Similarity,gcn,32,8,PKM2,-2.008078719236389,gcn 32 8 PKM2
11,20,Similarity,gcn,32,8,PKM2,-1.1398074736747947,gcn 32 8 PKM2
12,21,Similarity,gcn,32,8,PKM2,-0.7209533292339314,gcn 32 8 PKM2
13,23,Similarity,gcn,32,8,PKM2,0,gcn 32 8 PKM2
14,24,Similarity,gcn,32,8,PKM2,0,gcn 32 8 PKM2
15,24,Similarity,gcn,32,8,PKM2,0.9373979578259384,gcn 32 8 PKM2
0,1,Similarity,gcn,32,8,VDR,0,gcn 32 8 VDR
1,1,Similarity,gcn,32,8,VDR,0,gcn 32 8 VDR
2,1,Similarity,gcn,32,8,VDR,0,gcn 32 8 VDR
3,1,Similarity,gcn,32,8,VDR,0,gcn 32 8 VDR
4,1,Similarity,gcn,32,8,VDR,1.188089191361624,gcn 32 8 VDR
5,1,Similarity,gcn,32,8,VDR,2.1790092889443153,gcn 32 8 VDR
6,1,Similarity,gcn,32,8,VDR,2.01205426605677,gcn 32 8 VDR
7,1,Similarity,gcn,32,8,VDR,2.3360782352301874,gcn 32 8 VDR
8,1,Similarity,gcn,32,8,VDR,3.053221220152201,gcn 32 8 VDR
9,1,Similarity,gcn,32,8,VDR,3.272007826152547,gcn 32 8 VDR
10,1,Similarity,gcn,32,8,VDR,4.235161985998439,gcn 32 8 VDR
11,1,Similarity,gcn,32,8,VDR,5.455290195954793,gcn 32 8 VDR
12,1,Similarity,gcn,32,8,VDR,5.858138149387376,gcn 32 8 VDR
13,1,Similarity,gcn,32,8,VDR,5.893393949127337,gcn 32 8 VDR
14,1,Similarity,gcn,32,8,VDR,5.613442355237814,gcn 32 8 VDR
15,1,Similarity,gcn,32,8,VDR,5.358881497821788,gcn 32 8 VDR
0,2,Similarity,gcn,32,9,ALDH1,0,gcn 32 9 ALDH1
1,6,Similarity,gcn,32,9,ALDH1,-0.17433472990928578,gcn 32 9 ALDH1
2,18,Similarity,gcn,32,9,ALDH1,-0.8962055677545464,gcn 32 9 ALDH1
3,23,Similarity,gcn,32,9,ALDH1,-0.4951739052498805,gcn 32 9 ALDH1
4,30,Similarity,gcn,32,9,ALDH1,0.2613117467926245,gcn 32 9 ALDH1
5,40,Similarity,gcn,32,9,ALDH1,1.189329428567266,gcn 32 9 ALDH1
6,46,Similarity,gcn,32,9,ALDH1,1.2910216186092267,gcn 32 9 ALDH1
7,51,Similarity,gcn,32,9,ALDH1,1.808777489959966,gcn 32 9 ALDH1
8,54,Similarity,gcn,32,9,ALDH1,2.1732071983275083,gcn 32 9 ALDH1
9,60,Similarity,gcn,32,9,ALDH1,2.1753355347643186,gcn 32 9 ALDH1
10,72,Similarity,gcn,32,9,ALDH1,2.0609592765597107,gcn 32 9 ALDH1
11,82,Similarity,gcn,32,9,ALDH1,2.0456738464056206,gcn 32 9 ALDH1
12,89,Similarity,gcn,32,9,ALDH1,2.2531987750654117,gcn 32 9 ALDH1
13,99,Similarity,gcn,32,9,ALDH1,2.15804757623455,gcn 32 9 ALDH1
14,112,Similarity,gcn,32,9,ALDH1,2.096937656752252,gcn 32 9 ALDH1
15,127,Similarity,gcn,32,9,ALDH1,2.2419684870369663,gcn 32 9 ALDH1
0,2,Similarity,gcn,32,9,PKM2,0,gcn 32 9 PKM2
1,2,Similarity,gcn,32,9,PKM2,0,gcn 32 9 PKM2
2,2,Similarity,gcn,32,9,PKM2,0.7389385814309375,gcn 32 9 PKM2
3,2,Similarity,gcn,32,9,PKM2,0.6687291752886317,gcn 32 9 PKM2
4,2,Similarity,gcn,32,9,PKM2,0.6107038461917107,gcn 32 9 PKM2
5,2,Similarity,gcn,32,9,PKM2,1.1238884023282754,gcn 32 9 PKM2
6,2,Similarity,gcn,32,9,PKM2,1.5611849157633795,gcn 32 9 PKM2
7,2,Similarity,gcn,32,9,PKM2,1.453700680330988,gcn 32 9 PKM2
8,2,Similarity,gcn,32,9,PKM2,1.8134176548549696,gcn 32 9 PKM2
9,3,Similarity,gcn,32,9,PKM2,1.703678365658945,gcn 32 9 PKM2
10,3,Similarity,gcn,32,9,PKM2,2.0080787192363885,gcn 32 9 PKM2
11,3,Similarity,gcn,32,9,PKM2,2.2796149473495912,gcn 32 9 PKM2
12,3,Similarity,gcn,32,9,PKM2,2.523336652318758,gcn 32 9 PKM2
13,3,Similarity,gcn,32,9,PKM2,2.400395670561717,gcn 32 9 PKM2
14,3,Similarity,gcn,32,9,PKM2,2.288877893082834,gcn 32 9 PKM2
15,3,Similarity,gcn,32,9,PKM2,2.187261901593856,gcn 32 9 PKM2
0,1,Similarity,gcn,32,9,VDR,0,gcn 32 9 VDR
1,3,Similarity,gcn,32,9,VDR,-1.6307742425931937,gcn 32 9 VDR
2,4,Similarity,gcn,32,9,VDR,-1.4506075556779772,gcn 32 9 VDR
3,4,Similarity,gcn,32,9,VDR,1.3062896748116883,gcn 32 9 VDR
4,5,Similarity,gcn,32,9,VDR,0.594044595680812,gcn 32 9 VDR
5,6,Similarity,gcn,32,9,VDR,0.5447523222360791,gcn 32 9 VDR
6,8,Similarity,gcn,32,9,VDR,-0.5030135665141917,gcn 32 9 VDR
7,10,Similarity,gcn,32,9,VDR,-1.4016469411381123,gcn 32 9 VDR
8,11,Similarity,gcn,32,9,VDR,-1.744697840086972,gcn 32 9 VDR
9,13,Similarity,gcn,32,9,VDR,-2.454005869614411,gcn 32 9 VDR
10,14,Similarity,gcn,32,9,VDR,-2.6951030819990067,gcn 32 9 VDR
11,14,Similarity,gcn,32,9,VDR,-2.54580209144557,gcn 32 9 VDR
12,15,Similarity,gcn,32,9,VDR,-2.7567708938293536,gcn 32 9 VDR
13,15,Similarity,gcn,32,9,VDR,-2.61928619961215,gcn 32 9 VDR
14,16,Similarity,gcn,32,9,VDR,-2.8067211776189067,gcn 32 9 VDR
15,17,Similarity,gcn,32,9,VDR,-2.9771563876787703,gcn 32 9 VDR
0,1,Similarity,gcn,4,0,ALDH1,0,gcn 4 0 ALDH1
1,9,Similarity,gcn,4,0,ALDH1,-1.6128988085168388,gcn 4 0 ALDH1
2,17,Similarity,gcn,4,0,ALDH1,-1.7263258837515854,gcn 4 0 ALDH1
3,27,Similarity,gcn,4,0,ALDH1,-1.6789673319444076,gcn 4 0 ALDH1
4,37,Similarity,gcn,4,0,ALDH1,-1.8689831935064865,gcn 4 0 ALDH1
5,51,Similarity,gcn,4,0,ALDH1,-2.0465754458772034,gcn 4 0 ALDH1
6,67,Similarity,gcn,4,0,ALDH1,-2.266884074781279,gcn 4 0 ALDH1
7,82,Similarity,gcn,4,0,ALDH1,-2.427328840350352,gcn 4 0 ALDH1
8,93,Similarity,gcn,4,0,ALDH1,-2.2494627926926807,gcn 4 0 ALDH1
9,100,Similarity,gcn,4,0,ALDH1,-2.176572467460426,gcn 4 0 ALDH1
10,102,Similarity,gcn,4,0,ALDH1,-1.7849634092652198,gcn 4 0 ALDH1
11,107,Similarity,gcn,4,0,ALDH1,-1.627840790111994,gcn 4 0 ALDH1
12,116,Similarity,gcn,4,0,ALDH1,-1.2679168495432704,gcn 4 0 ALDH1
13,116,Similarity,gcn,4,0,ALDH1,-0.6334281943974953,gcn 4 0 ALDH1
14,116,Similarity,gcn,4,0,ALDH1,-0.1964395274317754,gcn 4 0 ALDH1
15,119,Similarity,gcn,4,0,ALDH1,0.2448676840873687,gcn 4 0 ALDH1
0,1,Similarity,gcn,4,0,PKM2,0,gcn 4 0 PKM2
1,1,Similarity,gcn,4,0,PKM2,0,gcn 4 0 PKM2
2,1,Similarity,gcn,4,0,PKM2,0,gcn 4 0 PKM2
3,2,Similarity,gcn,4,0,PKM2,-0.6978687482878483,gcn 4 0 PKM2
4,2,Similarity,gcn,4,0,PKM2,-0.6349143435748567,gcn 4 0 PKM2
5,3,Similarity,gcn,4,0,PKM2,-1.1647565573496603,gcn 4 0 PKM2
6,4,Similarity,gcn,4,0,PKM2,-1.6136159843329017,gcn 4 0 PKM2
7,4,Similarity,gcn,4,0,PKM2,-1.499055736102954,gcn 4 0 PKM2
8,4,Similarity,gcn,4,0,PKM2,-0.9331225414028796,gcn 4 0 PKM2
9,4,Similarity,gcn,4,0,PKM2,-0.8751116694815276,gcn 4 0 PKM2
10,4,Similarity,gcn,4,0,PKM2,-0.41194576535317995,gcn 4 0 PKM2
11,4,Similarity,gcn,4,0,PKM2,0,gcn 4 0 PKM2
12,4,Similarity,gcn,4,0,PKM2,0.3687768691460813,gcn 4 0 PKM2
13,4,Similarity,gcn,4,0,PKM2,0.3504163375226781,gcn 4 0 PKM2
14,4,Similarity,gcn,4,0,PKM2,1.6689867679071804,gcn 4 0 PKM2
15,4,Similarity,gcn,4,0,PKM2,1.5934167541456539,gcn 4 0 PKM2
0,1,Similarity,gcn,4,0,VDR,0,gcn 4 0 VDR
1,4,Similarity,gcn,4,0,VDR,-2.587341079684478,gcn 4 0 VDR
2,5,Similarity,gcn,4,0,VDR,-3.0492150750445246,gcn 4 0 VDR
3,5,Similarity,gcn,4,0,VDR,-2.0489920666730264,gcn 4 0 VDR
4,5,Similarity,gcn,4,0,VDR,-1.8559119269926214,gcn 4 0 VDR
5,5,Similarity,gcn,4,0,VDR,-1.6960866844857896,gcn 4 0 VDR
