train_cycle,seed,acquisition_method,architecture,bias,metric,value
6,2,Random,mlp,random,MolWt,347.439
6,2,Random,mlp,random,MolWt,453.52300000000025
6,2,Random,mlp,random,MolWt,371.3920000000001
6,2,Random,mlp,random,MolWt,372.4100000000001
6,2,Random,mlp,random,MolWt,382.301
6,2,Random,mlp,random,MolWt,477.58300000000014
6,2,Random,mlp,random,MolWt,321.33400000000006
6,2,Random,mlp,random,MolWt,421.5410000000002
6,2,Random,mlp,random,MolWt,285.347
6,2,Random,mlp,random,MolWt,375.42
6,2,Random,mlp,random,MolWt,336.1890000000001
6,2,Random,mlp,random,MolWt,289.3310000000001
6,2,Random,mlp,random,MolWt,350.3740000000001
6,2,Random,mlp,random,MolWt,394.5210000000002
6,2,Random,mlp,random,MolWt,424.9560000000002
6,2,Random,mlp,random,MolWt,285.377
6,2,Random,mlp,random,MolWt,466.46800000000025
6,2,Random,mlp,random,MolWt,386.93000000000006
6,2,Random,mlp,random,MolWt,249.291
6,2,Random,mlp,random,MolWt,396.5150000000001
6,2,Random,mlp,random,MolWt,297.19800000000004
6,2,Random,mlp,random,MolWt,345.25000000000017
6,2,Random,mlp,random,MolWt,339.351
6,2,Random,mlp,random,MolWt,407.4700000000003
7,2,Random,mlp,random,MolWt,322.38800000000003
7,2,Random,mlp,random,MolWt,390.8660000000001
7,2,Random,mlp,random,MolWt,364.8160000000001
7,2,Random,mlp,random,MolWt,330.40800000000013
7,2,Random,mlp,random,MolWt,347.439
7,2,Random,mlp,random,MolWt,453.52300000000025
7,2,Random,mlp,random,MolWt,371.3920000000001
7,2,Random,mlp,random,MolWt,372.4100000000001
7,2,Random,mlp,random,MolWt,382.301
7,2,Random,mlp,random,MolWt,477.58300000000014
7,2,Random,mlp,random,MolWt,321.33400000000006
7,2,Random,mlp,random,MolWt,421.5410000000002
7,2,Random,mlp,random,MolWt,285.347
7,2,Random,mlp,random,MolWt,375.42
7,2,Random,mlp,random,MolWt,336.1890000000001
7,2,Random,mlp,random,MolWt,289.3310000000001
7,2,Random,mlp,random,MolWt,350.3740000000001
7,2,Random,mlp,random,MolWt,394.5210000000002
7,2,Random,mlp,random,MolWt,424.9560000000002
7,2,Random,mlp,random,MolWt,285.377
7,2,Random,mlp,random,MolWt,466.46800000000025
7,2,Random,mlp,random,MolWt,386.93000000000006
7,2,Random,mlp,random,MolWt,249.291
7,2,Random,mlp,random,MolWt,396.5150000000001
7,2,Random,mlp,random,MolWt,297.19800000000004
7,2,Random,mlp,random,MolWt,345.25000000000017
7,2,Random,mlp,random,MolWt,339.351
7,2,Random,mlp,random,MolWt,407.4700000000003
7,2,Random,mlp,random,MolWt,337.41900000000004
7,2,Random,mlp,random,MolWt,308.337
7,2,Random,mlp,random,MolWt,180.206
7,2,Random,mlp,random,MolWt,361.3760000000001
7,2,Random,mlp,random,MolWt,387.4610000000001
8,2,Random,mlp,random,MolWt,322.38800000000003
8,2,Random,mlp,random,MolWt,390.8660000000001
8,2,Random,mlp,random,MolWt,364.8160000000001
8,2,Random,mlp,random,MolWt,330.40800000000013
8,2,Random,mlp,random,MolWt,347.439
8,2,Random,mlp,random,MolWt,453.52300000000025
8,2,Random,mlp,random,MolWt,371.3920000000001
8,2,Random,mlp,random,MolWt,372.4100000000001
8,2,Random,mlp,random,MolWt,382.301
8,2,Random,mlp,random,MolWt,477.58300000000014
8,2,Random,mlp,random,MolWt,321.33400000000006
8,2,Random,mlp,random,MolWt,421.5410000000002
8,2,Random,mlp,random,MolWt,285.347
8,2,Random,mlp,random,MolWt,375.42
8,2,Random,mlp,random,MolWt,336.1890000000001
8,2,Random,mlp,random,MolWt,289.3310000000001
8,2,Random,mlp,random,MolWt,350.3740000000001
8,2,Random,mlp,random,MolWt,394.5210000000002
8,2,Random,mlp,random,MolWt,424.9560000000002
8,2,Random,mlp,random,MolWt,285.377
8,2,Random,mlp,random,MolWt,466.46800000000025
8,2,Random,mlp,random,MolWt,386.93000000000006
8,2,Random,mlp,random,MolWt,249.291
8,2,Random,mlp,random,MolWt,396.5150000000001
8,2,Random,mlp,random,MolWt,297.19800000000004
8,2,Random,mlp,random,MolWt,345.25000000000017
8,2,Random,mlp,random,MolWt,339.351
8,2,Random,mlp,random,MolWt,407.4700000000003
8,2,Random,mlp,random,MolWt,337.41900000000004
8,2,Random,mlp,random,MolWt,308.337
8,2,Random,mlp,random,MolWt,180.206
8,2,Random,mlp,random,MolWt,361.3760000000001
8,2,Random,mlp,random,MolWt,387.4610000000001
8,2,Random,mlp,random,MolWt,483.95500000000027
8,2,Random,mlp,random,MolWt,473.5510000000003
8,2,Random,mlp,random,MolWt,445.475
9,2,Random,mlp,random,MolWt,322.38800000000003
9,2,Random,mlp,random,MolWt,390.8660000000001
9,2,Random,mlp,random,MolWt,364.8160000000001
9,2,Random,mlp,random,MolWt,330.40800000000013
9,2,Random,mlp,random,MolWt,347.439
9,2,Random,mlp,random,MolWt,453.52300000000025
9,2,Random,mlp,random,MolWt,371.3920000000001
9,2,Random,mlp,random,MolWt,372.4100000000001
9,2,Random,mlp,random,MolWt,382.301
9,2,Random,mlp,random,MolWt,477.58300000000014
9,2,Random,mlp,random,MolWt,321.33400000000006
9,2,Random,mlp,random,MolWt,421.5410000000002
9,2,Random,mlp,random,MolWt,285.347
9,2,Random,mlp,random,MolWt,375.42
9,2,Random,mlp,random,MolWt,336.1890000000001
