index,train_cycle,train_binary_accuracy,train_balanced_accuracy,train_roc_auc,train_precision,train_tpr,train_tp,train_fn,train_fp,train_tn,test_cycle,test_binary_accuracy,test_balanced_accuracy,test_roc_auc,test_precision,test_tpr,test_tp,test_fn,test_fp,test_tn,screen_cycle,screen_binary_accuracy,screen_balanced_accuracy,screen_roc_auc,screen_precision,screen_tpr,screen_tp,screen_fn,screen_fp,screen_tn,hits_discovered,total_mols_screened,acquisition_method,architecture,n_start,batch_size,seed,bias,retrain,dataset,scrambledx,scrambledx_seed,cum_hits_discovered,mean_total_sims,mean_total_hits_sims,n_unique_scaffolds,mean_tani_per_batch,mean_tani_batch_to_start_batch,mean_tani_all_mols_to_start_batch,unique_patterns,Long_chain groups,Bicyclic,Ortho,Meta,Para,Macrocycle groups,Spiro-ring center,CIS or TRANS double bond in a ring,Unfused benzene ring,Multiple non-fused benzene rings,Fused benzene rings,Carbonyl group,Aldehyde,Amide,Carbamate,Carboxylate Ion,Carbonic Acid or Carbonic Ester,Carboxylic acid,Ester Also hits anhydrides,Ketone,Ether,Mono-Hydrogenated Cation,Amidinium,Cyanamide,"Primary or secondary amine, not amide",Enamine or Aniline Nitrogen,Azole,Hydrazine H2NNH2,Hydrazone C=NNH2,Substituted or un-substituted imine,Iminium,Unsubstituted dicarboximide,Substituted dicarboximide,Nitrate group,Nitrile,Nitro group,Hydroxyl,Enol,Phenol,Carbo-Thioester,"Thiol, Sulfide or Disulfide Sulfur",Thioamide,Sulfide,Mono-sulfide,Two Sulfides,Sulfone,Sulfonamide,Sulfoxide,Halogen,Three_halides groups,hit_unique_patterns,hit_Long_chain groups,hit_Bicyclic,hit_Ortho,hit_Meta,hit_Para,hit_Macrocycle groups,hit_Spiro-ring center,hit_CIS or TRANS double bond in a ring,hit_Unfused benzene ring,hit_Multiple non-fused benzene rings,hit_Fused benzene rings,hit_Carbonyl group,hit_Aldehyde,hit_Amide,hit_Carbamate,hit_Carboxylate Ion,hit_Carbonic Acid or Carbonic Ester,hit_Carboxylic acid,hit_Ester Also hits anhydrides,hit_Ketone,hit_Ether,hit_Mono-Hydrogenated Cation,hit_Amidinium,hit_Cyanamide,"hit_Primary or secondary amine, not amide",hit_Enamine or Aniline Nitrogen,hit_Azole,hit_Hydrazine H2NNH2,hit_Hydrazone C=NNH2,hit_Substituted or un-substituted imine,hit_Iminium,hit_Unsubstituted dicarboximide,hit_Substituted dicarboximide,hit_Nitrate group,hit_Nitrile,hit_Nitro group,hit_Hydroxyl,hit_Enol,hit_Phenol,hit_Carbo-Thioester,"hit_Thiol, Sulfide or Disulfide Sulfur",hit_Thioamide,hit_Sulfide,hit_Mono-sulfide,hit_Two Sulfides,hit_Sulfone,hit_Sulfonamide,hit_Sulfoxide,hit_Halogen,hit_Three_halides groups,enrichment,perc_of_tot_patterns,pattern_enrichment_aldehyde,aldehyde_hit_enrichment,pattern_enrichment_sulfonamide,sulfonamide_hit_enrichment
123,11,0.9616477489471436,0.9789719626168224,1,0.6966292134831461,1,62,0,27,615,11,0.6003000140190125,0.5430396858100481,0.560909877978935,0.0601031057462592,0.4794383149448345,478,519,7475,11528,11,0.5968921184539795,0.5455840701693762,0.56022934287604,0.0602780909432544,0.4886271324126726,2406,2518,37509,56863,66,768,Similarity,mlp,64,64,7,Innate,TRUE,ALDH1,NA,NA,4,0.2196,0.2644,570,0.2424,0.1439,0.1409,41,57,553,496,407,478,0,6,28,495,73,6,710,0,668,19,17,0,17,45,23,390,52,2,0,31,223,199,4,1,0,2,7,8,0,8,1,46,0,38,0,405,5,438,438,112,86,75,0,102,10,27,4,61,42,19,26,0,0,3,32,4,0,58,0,56,3,1,0,1,5,0,40,1,0,0,0,14,6,0,0,0,0,0,0,0,0,0,3,0,3,0,34,0,35,35,9,7,5,0,7,0,1.6821317985678077,93.10344827586206,0,0,0.7635956681523184,0.5290297937356762
124,12,0.9505208134651184,0.9729344729344728,1,0.6346153846153846,1,66,0,38,664,12,0.5974500179290771,0.55056858730694,0.5711169450043547,0.0617544731610337,0.4984954864593781,497,500,7551,11452,12,0.5971360206604004,0.5490788488235209,0.5673496876308147,0.0610742456491799,0.4957317073170731,2439,2481,37496,56816,68,832,Similarity,mlp,64,64,7,Innate,TRUE,ALDH1,NA,NA,2,0.2145,0.2583,617,0.2603,0.1481,0.1415,41,60,569,522,428,537,0,6,28,559,102,6,773,0,726,22,19,0,19,54,23,418,55,2,0,34,271,212,5,1,0,2,7,10,0,8,2,46,0,38,0,426,5,461,461,120,127,115,0,108,10,27,5,61,42,19,28,0,0,3,34,4,0,60,0,58,3,3,0,3,5,0,40,1,0,0,0,16,6,0,0,0,0,0,0,0,0,0,3,0,3,0,36,0,37,37,9,9,7,0,7,0,1.6027772074287234,93.10344827586206,0,0,1.0807815610771274,0.7188581314878894
125,13,0.9338942170143129,0.9640052356020944,1,0.5528455284552846,1,68,0,55,709,13,0.6053500175476074,0.5518746683665161,0.5704194095732443,0.0623254633155623,0.4924774322968906,491,506,7387,11616,13,0.6019381284713745,0.5467869235839115,0.5645016304529563,0.0607123789184654,0.4855632370882473,2388,2530,36945,57305,71,896,Similarity,mlp,64,64,7,Innate,TRUE,ALDH1,NA,NA,3,0.2128,0.251,658,0.2585,0.144,0.1416,41,62,592,558,466,595,0,6,28,614,122,6,835,0,784,22,21,0,21,61,23,453,61,2,0,37,309,240,5,1,0,2,8,11,0,8,2,48,0,40,0,465,6,501,501,134,153,141,0,117,11,28,5,61,44,20,31,0,0,3,37,6,0,63,0,61,3,3,0,3,6,0,41,1,0,0,0,18,6,0,0,0,0,0,0,0,0,0,3,0,3,0,37,0,38,38,9,12,10,0,8,1,1.556444466036532,96.55172413793103,0,0,1.230479876679736,0.9835483489170316
126,14,0.9274553656578064,0.9606060606060608,1,0.5220588235294118,1,71,0,65,760,14,0.6009500026702881,0.5547863661499681,0.5687856866394584,0.0628442663995994,0.5035105315947843,502,495,7486,11517,14,0.6002885699272156,0.5479881023617078,0.563823574269034,0.0609404261780634,0.4899287894201424,2408,2507,37106,57083,77,960,Similarity,mlp,64,64,7,Innate,TRUE,ALDH1,NA,NA,6,0.2078,0.2401,692,0.3167,0.1458,0.142,41,63,596,592,489,648,0,6,28,677,162,8,892,0,836,23,21,0,21,76,24,494,66,2,0,44,361,240,5,1,0,2,8,12,0,8,4,49,0,41,0,471,6,507,507,134,214,202,0,127,16,29,5,61,45,21,37,0,0,3,43,12,0,65,0,63,3,3,0,3,6,0,46,1,0,0,4,23,6,0,0,0,0,0,0,0,0,0,4,0,4,0,37,0,38,38,9,18,16,0,9,1,1.5776353981875375,100,0,0,1.645294132978862,1.45105314853214
127,15,0.8843749761581421,0.9371460928652322,0.9999264608551132,0.4095744680851064,1,77,0,111,772,15,0.6067000031471252,0.5487835394833661,0.5674636127505814,0.0616464582003829,0.4844533600802407,483,514,7352,11651,15,0.6054624319076538,0.5442340490803939,0.5613856316651881,0.0601925750476288,0.4762680790385007,2338,2571,36504,57627,88,1000,Similarity,mlp,64,64,7,Innate,TRUE,ALDH1,NA,NA,11,0.2051,0.2294,719,0.3108,0.1409,0.1417,41,63,597,608,506,687,0,6,28,716,191,9,913,0,856,23,22,0,22,76,24,525,66,2,0,65,388,240,5,1,0,2,8,13,0,8,6,50,0,42,0,473,6,511,511,134,254,242,0,137,17,29,5,61,49,26,48,0,0,3,54,20,0,67,0,65,3,3,0,3,6,0,52,1,0,0,13,34,6,0,0,0,0,0,0,0,0,0,5,0,5,0,38,0,41,41,9,29,27,0,13,1,1.7322411476125958,100,0,0,1.8922511533348971,2.142570664629488
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,64,Similarity,mlp,64,64,8,Innate,TRUE,ALDH1,NA,NA,3,0.1322,0.1031,62,0.1322,0.1301,0.1301,42,5,20,37,41,48,0,1,7,51,19,0,48,1,34,1,6,0,6,7,6,31,15,3,0,14,34,19,3,1,2,3,2,0,0,3,1,4,0,3,1,10,0,16,16,4,10,8,2,21,3,18,0,0,1,1,3,0,0,0,3,2,0,1,0,1,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0.7244312007688629,48.64864864864865,5.56049822064057,0,0.9774024552349675,2.327731092436975
129,1,1,1,1,1,1,3,0,0,61,1,0.6007000207901001,0.4909789622511696,0.4822080301843276,0.0476375404530744,0.3691073219658977,368,629,7357,11646,1,0.5993735790252686,0.493585235391307,0.4818145789499132,0.0482964795629091,0.3760786674693959,1874,3109,36928,58025,13,128,Similarity,mlp,64,64,8,Innate,TRUE,ALDH1,NA,NA,10,0.1764,0.3318,99,0.2725,0.1509,0.1509,43,12,22,69,76,109,0,1,7,115,56,1,89,1,72,1,8,0,8,7,6,82,17,4,0,29,57,19,4,1,2,4,2,0,0,3,3,6,0,4,1,33,0,40,40,7,44,42,2,41,4,18,0,0,7,8,12,0,0,0,13,10,0,3,0,3,0,0,0,0,0,0,12,0,0,0,8,9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,3,3,0,9,9,0,5,0,1.7731435937121205,48.64864864864865,2.780249110320285,0,2.5656814449917897,4.834518422753717
130,2,0.9921875,0.9956521739130436,1,0.9285714285714286,1,13,0,1,114,2,0.6628000140190125,0.5127285767210594,0.5126841082105443,0.0535963958365698,0.3460381143430291,345,652,6092,12911,2,0.6605355143547058,0.511636914936819,0.5149328105401768,0.0531908321492555,0.3462698572290368,1722,3251,30652,64247,27,192,Similarity,mlp,64,64,8,Innate,TRUE,ALDH1,NA,NA,14,0.2026,0.3843,125,0.3127,0.1403,0.1456,45,12,27,97,111,164,1,1,7,178,92,3,112,1,91,3,9,0,9,9,6,133,20,4,0,60,94,20,4,1,2,4,2,1,0,3,6,6,0,4,1,42,0,52,52,7,101,99,2,54,5,21,0,2,8,11,24,0,0,0,27,20,0,4,0,4,0,0,0,0,1,0,21,0,0,0,20,21,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,7,7,0,23,23,0,6,0,2.5660415845442417,56.75675675675676,1.8534994068801898,0,4.031785127844241,5.9486461251167135
131,3,1,1,1,1,1,27,0,0,165,3,0.6429499983787537,0.5127371009518583,0.5202147778915339,0.0533585344576911,0.3681043129388164,367,630,6511,12492,3,0.6464411616325378,0.5184256413880177,0.5260219929793589,0.0547840638853821,0.3762855414398064,1866,3093,32195,62654,34,256,Similarity,mlp,64,64,8,Innate,TRUE,ALDH1,NA,NA,7,0.2169,0.3596,169,0.2676,0.1411,0.144,46,13,39,106,126,217,1,1,7,234,125,6,146,1,117,5,10,0,10,21,8,175,24,4,0,82,132,26,4,1,2,4,2,1,0,4,7,6,0,4,1,47,1,67,67,9,164,162,2,58,5,21,0,4,11,14,31,0,0,0,34,24,0,5,0,5,0,0,0,0,1,0,25,0,0,0,26,25,3,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,13,13,0,30,30,0,7,0,2.4794941163966837,56.75675675675676,1.3901245551601424,0,4.948099929627023,6.161641127039052
132,4,0.99609375,0.9977477477477478,1,0.9714285714285714,1,34,0,1,221,4,0.621749997138977,0.5082336680092374,0.5154913247873917,0.0519781718963165,0.3821464393179538,381,616,6949,12054,4,0.6204683780670166,0.5149594091292272,0.5220846974997447,0.053468678753664,0.3978190630048465,1970,2982,34874,59918,38,320,Similarity,mlp,64,64,8,Innate,TRUE,ALDH1,NA,NA,4,0.2238,0.3477,209,0.2457,0.1416,0.1434,46,14,53,135,159,272,1,1,8,293,146,7,182,1,145,6,14,0,14,26,8,224,27,4,0,109,163,35,4,1,2,4,2,3,0,5,9,7,0,5,1,48,2,78,78,10,226,224,2,66,6,22,0,4,14,17,35,0,0,0,38,26,0,5,0,5,0,0,0,0,1,0,27,0,0,0,30,29,4,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,15,15,1,34,34,0,7,0,2.2481341262499908,59.45945945945946,1.112099644128114,0,5.473453749315818,6.2481203007518795
133,5,0.978124976158142,0.9875886524822696,1,0.8444444444444444,1,38,0,7,275,5,0.6249499917030334,0.5122935770422354,0.5157284461921259,0.0530511269928532,0.38716148445336,386,611,6890,12113,5,0.6238563656806946,0.5158397406924682,0.5236575222067983,0.053724221149627,0.3959175424413904,1959,2989,34505,60227,44,384,Similarity,mlp,64,64,8,Innate,TRUE,ALDH1,NA,NA,6,0.2252,0.3271,248,0.2418,0.142,0.1432,46,16,60,170,197,333,1,1,8,356,173,7,218,1,178,6,15,0,15,31,8,269,29,4,0,140,205,45,4,1,2,4,2,3,0,5,9,7,0,5,1,52,3,94,94,11,285,283,2,81,6,22,0,5,20,23,41,0,0,0,44,29,0,8,0,8,0,0,0,0,1,0,31,0,0,0,34,35,5,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,16,16,1,40,40,0,7,0,2.189780556384126,59.45945945945946,0.9267497034400949,0,5.762601975656163,6.3483575248281126
134,6,0.9869791865348816,0.9926470588235294,1,0.8979591836734694,1,44,0,5,335,6,0.6182500123977661,0.5154205182510643,0.5190099847508637,0.0537778972842161,0.4012036108324975,400,597,7038,11965,6,0.6163166761398315,0.5164124838044634,0.5280395445823346,0.0537452731515005,0.405503844597329,2004,2938,35283,59391,57,448,Similarity,mlp,64,64,8,Innate,TRUE,ALDH1,NA,NA,13,0.2262,0.3015,284,0.235,0.1476,0.1439,46,18,73,208,236,394,1,2,8,419,201,10,262,1,216,6,20,0,20,35,8,316,34,4,0,162,246,46,4,1,2,4,2,3,0,6,9,9,0,7,1,55,3,101,101,11,345,343,2,90,6,25,0,9,30,35,52,0,1,0,57,33,1,18,0,17,0,0,0,0,2,0,40,0,0,0,38,45,5,0,0,1,0,0,0,0,0,0,2,0,1,0,7,0,17,17,1,53,53,0,9,0,2.4480572579093685,67.56756756756756,0.7943568886629385,0,5.986590038314176,6.493144626271561
